Sample_ID,Locality,Station,IGSN,Depth,Cat_No,UCIAMS_ID,NAU_ID,Analysis_Type,Calibration_Op,Calibration_Type
JI-WC_R2H3S1_223,Jack Island,8875,IEPRI007R,15-25cm,PRI85652,NA,UAL21145,LP,R_F14C,likelihood
JI-WC_R2H3S1_228,Jack Island,8875,IEPRI007R,15-25cm,PRI85670,NA,UAL21146,LP,R_F14C,likelihood
JI-WC_R2H3S1_237,Jack Island,8875,IEPRI007R,15-25cm,PRI85671,NA,UAL21147,LP,R_F14C,likelihood
JI-WC_R2H3S1_267,Jack Island,8875,IEPRI007R,15-25cm,PRI85672,NA,UAL21148,LP,R_F14C,likelihood
JI-WC_R2H3S1_98,Jack Island,8875,IEPRI007R,15-25cm,PRI85668,NA,UAL21025,LP,R_F14C,likelihood
JI-WC_R2H3S2_48,Jack Island,8875,IEPRI007S,25-35cm,PRI85713,NA,UAL21036,LP,R_F14C,likelihood
JI-WC_R2H3S2_92,Jack Island,8875,IEPRI007S,25-35cm,PRI85719,NA,UAL21036,LP,R_F14C,likelihood
JI-WC_R2H3S2_93,Jack Island,8875,IEPRI007S,25-35cm,PRI85714,NA,UAL21037,LP,R_F14C,likelihood
JI-WC_R2H3S2_94,Jack Island,8875,IEPRI007S,25-35cm,PRI85715,NA,UAL21038,LP,R_F14C,likelihood
JI-WC_R2H3S2_95,Jack Island,8875,IEPRI007S,25-35cm,PRI85716,NA,UAL21149,LP,R_F14C,likelihood
JI-WC_R2H3S2_96,Jack Island,8875,IEPRI007S,25-35cm,PRI85717,NA,UAL21150,LP,R_F14C,likelihood
JI-WC_R2H3S2_97,Jack Island,8875,IEPRI007S,25-35cm,PRI85718,NA,UAL21151,LP,R_F14C,likelihood
