study,loc,sta,date,source,species,sampType,lat,lon,coords_origOrEst,depth_m,year,samp,delta14C,delta14C_sd,delta14C_se,F14C,F14C_sd,14Cage,14Cage_sd,pMC,pMC_sd,dataSource,Comments,ind,F14C_calc,F14C_calc_sd,C14age_calc,C14age_sd_calc,year_bp,delta14C_calc,decade,w_i,w_i_calc
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1998,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1954,OS-23905,-58.9,3.4,,,,,,,,"Baker & Wilson 2001, Table 1","",690,0.933277856459677,,,,69,,1950s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1995,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1954,OS-23906,-75.2,3.1,,,,,,,,"Baker & Wilson 2001, Table 1","",691,0.917113337215927,,,,69,,1950s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1955,OS-23907,-65.3,3.2,,,,,,,,"Baker & Wilson 2001, Table 1","",692,0.927043182374618,,,,68,,1950s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1990,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1960,OS-23908,-3.1,3.8,,,,,,,,"Baker & Wilson 2001, Table 1","",693,0.989331837415231,,,,63,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1996,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1960,OS-23909,-3.4,4,,,,,,,,"Baker & Wilson 2001, Table 1","",694,0.989034114924284,,,,63,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1998,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1960,OS-23910,-50.7,3.3,,,,,,,,"Baker & Wilson 2001, Table 1","",695,0.942093202185052,,,,63,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1961,OS-23912,7.3,2.8,,,,,,,,"Baker & Wilson 2001, Table 1","",696,0.999773811958033,,,,62,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1992,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1961,OS-23914,-14.8,5.2,,,,,,,,"Baker & Wilson 2001, Table 1","",697,0.977838935313267,,,,62,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1992,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1963,OS-23911,61.6,3.1,,,,,,,,"Baker & Wilson 2001, Table 1","",698,1.05392304189319,,,,60,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1966,OS-23917,112.4,3.5,,,,,,,,"Baker & Wilson 2001, Table 1","",699,1.10475651260675,,,,57,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1967,OS-23913,99,3.7,,,,,,,,"Baker & Wilson 2001, Table 1","",700,1.09158061899199,,,,56,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1969,OS-23918,151.5,3.7,,,,,,,,"Baker & Wilson 2001, Table 1","",701,1.14400292022773,,,,54,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1970,OS-23916,107.9,4.7,,,,,,,,"Baker & Wilson 2001, Table 1","",702,1.10081993735752,,,,53,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1971,OS-23915,150.3,3.7,,,,,,,,"Baker & Wilson 2001, Table 1","",703,1.14308724184225,,,,52,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1992,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1972,OS-23919,119.6,5,,,,,,,,"Baker & Wilson 2001, Table 1","",704,1.1127143298804,,,,51,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1998,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1973,OS-23920,164.2,3.7,,,,,,,,"Baker & Wilson 2001, Table 1","",705,1.15718000203908,,,,50,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1992,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1973,OS-23921,140.5,5.2,,,,,,,,"Baker & Wilson 2001, Table 1","",706,1.13362291043254,,,,50,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1995,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1973,OS-23922,164.1,5.5,,,,,,,,"Baker & Wilson 2001, Table 1","",707,1.15708060502808,,,,50,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1976,OS-23923,143.6,4.6,,,,,,,,"Baker & Wilson 2001, Table 1","",708,1.13711678962224,,,,47,,1970s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1984,OS-23924,122.5,3.6,,,,,,,,"Baker & Wilson 2001, Table 1","",709,1.11721701936872,,,,39,,1980s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1998,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1989,OS-23925,108.1,5.2,,,,,,,,"Baker & Wilson 2001, Table 1","",710,1.10355203440323,,,,34,,1980s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1998,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1996,OS-23926,85.3,3.3,,,,,,,,"Baker & Wilson 2001, Table 1","",711,1.0817611950975,,,,27,,1990s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1992,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1963,OS-23929,62.7,5.2,,,,,,,,"Baker & Wilson 2001, Table 1","",712,1.05501508724557,,,,60,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1991,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1961,OS-23930,-8.6,13.7,,,,,,,,"Baker & Wilson 2001, Table 1","",713,0.983992611114061,,,,62,,1960s,,
Baker & Wilson 2001,Gulf of Mexico,Gulf of Mexico,unspecified 1995,otolith,Lutjanus campechanus,core,27.39,-90.06,est,,1973,OS-23931,177.4,9.1,,,,,,,,"Baker & Wilson 2001, Table 1","",714,1.17030040749082,,,,50,,1970s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2001,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1973,OS–36337,142.8,9.7,,,,,,,,"Fischer et al. 2005, Table 1","",715,1.1359090416855,,,,50,,1970s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2000,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1975,OS–36338,126.2,6.7,,,,,,,,"Fischer et al. 2005, Table 1","",716,1.11967998449239,,,,48,,1970s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2000,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1980,OS–36339,115.3,6.5,,,,,,,,"Fischer et al. 2005, Table 1","",717,1.10951393591635,,,,43,,1980s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2001,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1985,OS–36340,113.5,11.9,,,,,,,,"Fischer et al. 2005, Table 1","",718,1.10839344367974,,,,38,,1980s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2001,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1990,OS–36341,91.4,6.1,,,,,,,,"Fischer et al. 2005, Table 1","",719,1.08705206105257,,,,33,,1990s,,
Fischer et al. 2005,Gulf of Mexico,Louisiana,unspecified 2001,otolith,Lutjanus griseus,core,29.05,-90.13,est,,1995,OS–36342,74.5,5.9,,,,,,,,"Fischer et al. 2005, Table 1","",720,1.07086686737258,,,,28,,1990s,,
DiNapoli et al. 2021,Anguilla (Caribbean),"Sombrero (off Isle Saint Barthelemy), Anegada Passage",unspecified 1887,shell,Parvamussium cancellatum,whole,18.5,-63.5167,orig,,1887,D-AMS002818,,,,,,888,27,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-96969,721,0.89535,0.0030043,,,136,,pre-1900,,110793.276100991
DiNapoli et al. 2021,Anegada (Caribbean),1 mi. S. of East Point,unspecified 1950,shell,Tellina listeri,whole,18.7,-64.35,est,,1950,D-AMS004868,,,,,,56,36,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-229052,722,0.99305,0.0044404,,,73,,1950s,,50717.2634204594
DiNapoli et al. 2021,Antigua (Caribbean),Falmouth Harbor,unspecified 1918,shell,Aequipecten muscosus acanthodes,whole,17.01,-61.78,est,,1918,D-AMS002819,,,,,,458,33,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-501833,723,0.94458,0.0038724,,,105,,1910s,,66686.7537838945
DiNapoli et al. 2021,Aruba (Caribbean),"San Nicolas Bay, 8 Miles SW",unspecified 1939,shell,Chlamys munda,whole,12.42,-69.9,orig,,1939,D-AMS002820,,,,,,296,26,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-764659,724,0.96382,0.0031145,,,84,,1930s,,103091.611768021
DiNapoli et al. 2021,Bahamas (Atlantic),"Cat Island, Arthurstown",unspecified 1935,shell,Anomalocardia cuneimeris,whole,24.62,-75.68,est,,1935,D-AMS004869,,24.62,-75.68,,,152,43,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-107624,725,0.98126,0.0052386,,,88,,1930s,,36439.2578145836
DiNapoli et al. 2021,Bahamas (Atlantic),"Great Inagua, shore 2 1/2 mi. S. E. of Matthew Town",unspecified 1938,shell,Asaphis deflorata,whole,20.91,-73.65,est,,1938,D-AMS004870,,20.91,-73.65,,,372,33,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-134692,726,0.95475,0.0039141,,,85,,1930s,,65273.3895865018
DiNapoli et al. 2021,Bahamas (Atlantic),"Long Island, Clarence Town",unspecified 1936,shell,Antigona listeri,whole,23.11,-74.97,est,,1936,D-AMS004871,,23.11,-74.97,,,367,30,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-112910,727,0.95534,0.0035612,,,87,,1930s,,78851.0118205993
DiNapoli et al. 2021,Bahamas (Atlantic),"New Providence, 12 mi West of Nassau, Old Fort",unspecified 1935,shell,Arca barbata,whole,25.04,-77.52,est,,1935,D-AMS004872,,25.04,-77.52,,,391,37,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-107020,728,0.95249,0.0043771,,,88,,1930s,,52194.7789457187
DiNapoli et al. 2021,Barbados,Barbados,unspecified 1878,shell,Arca barbata,whole,13.16,-59.56,est,,1878,D-AMS004873,,13.16,-59.56,,,527,22,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-7910,729,0.9365,0.0025613,,,145,,pre-1900,,152433.036513845
DiNapoli et al. 2021,Barbados (Atlantic),Bathsheba,unspecified 1935,shell,Lima tenera,whole,13.22,-59.52,est,,1935,D-AMS004874,,13.22,-59.52,,,561,22,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-213278,730,0.93255,0.0025505,,,88,,1930s,,153726.714101863
DiNapoli et al. 2021,Barbados (Caribbean),"Lazaretto, 1/2 mile off (sest side)",unspecified 1918,shell,Basiliomya goreaui,whole,13.13,-59.64,est,,1918,D-AMS002821,,13.13,-59.64,,,148,28,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-1185585,731,0.98174,0.003416,,,105,,1910s,,85696.735022953
DiNapoli et al. 2021,Barbados (Caribbean),"Needham Point, off pont (west side)",unspecified 1918,shell,Chlamys multisquamata,whole,13.08,-59.61,est,,1918,D-AMS002822,,13.08,-59.61,,,440,25,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-503314,732,0.9467,0.0029417,,,105,,1910s,,115558.857385404
DiNapoli et al. 2021,Cayman Islands (Caribbean),Grand Cayman,unspecified 1895,shell,Tellina radiata,whole,19.25,-81.27,est,,1895,D-AMS004875,,19.25,-81.27,,,327,30,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-184143,733,0.96011,0.0035789,,,128,,pre-1900,,78073.0008806377
DiNapoli et al. 2021,Cuba (Caribbean),"Cienfuegos Harbor, just above Pasacaballos",unspecified 1928,shell,Asaphis deflorata,whole,22.08,-80.45,est,,1928,D-AMS004876,,22.08,-80.45,,,242,37,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-64034,734,0.97032,0.004459,,,95,,1920s,,50295.0281202017
DiNapoli et al. 2021,Cuba (Caribbean),"Cienfuegos, Cienfuegos Bay, Punta de los Colorados",unspecified 1928,shell,Codakia orbicularis,whole,22.04,-80.45,est,,1928,D-AMS004877,,22.04,-80.45,,,539,24,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-109208,735,0.9351,0.0027896,,,95,,1920s,,128503.847590242
DiNapoli et al. 2021,Cuba (Atlantic),Varadero Beach,unspecified 1938,shell,Donax denticulata,whole,23.16,-81.25,est,,1938,D-AMS004878,,23.16,-81.25,,,450,32,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-232796,736,0.94552,0.0037591,,,85,,1930s,,70767.2373911556
DiNapoli et al. 2021,Cuba (Caribbean),"Oriente, Guantanamo, Windmill Beach",unspecified 1930,shell,Acar plicata,whole,19.9,-75.11,est,,1930,D-AMS004879,,19.9,-75.11,,,486,26,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-92632,737,0.94129,0.0030417,,,93,,1930s,,108085.452345654
DiNapoli et al. 2021,Hispaniola (Atlantic),Dominican Repub. (Samana Bay; NE part of island),unspecified 1933,shell,Argopecten lineolaris,whole,19.14,-69.36,est,,1933,D-AMS002823,,19.14,-69.36,,,300,28,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-429652,738,0.96334,0.003352,,,90,,1930s,,89000.4044178377
DiNapoli et al. 2021,Hispaniola (Atlantic),Dominican Repub. (Samana Bay; NE part of island),unspecified 1933,shell,Argopecten lineolaris,whole,19.16875,-69.44097,orig,,1933,D-AMS002824,,,,,,266,31,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-430209,739,0.96743,0.0037262,,,90,,1930s,,72022.414550814
DiNapoli et al. 2021,Hispaniola (Atlantic),Haiti (CapHaitien),unspecified 1927,shell,Codakia orbicularis,whole,19.75,-72.19,est,,1927,D-AMS004882,,19.75,-72.19,,,460,23,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-64563,740,0.94434,0.0027,,,96,,1920s,,137174.211248285
DiNapoli et al. 2021,Grenada (Caribbean),Grenada (Caribbean),unspecified 1879,shell,Propeamussium dalli,whole,12.11,-61.77,est,,1879,D-AMS004884,,12.11,-61.77,,,916,24,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-150907,741,0.89223,0.0026617,,,144,,pre-1900,,141150.295212525
DiNapoli et al. 2021,Guadeloupe,Guadeloupe,unspecified 1879,shell,Propeamussium dalli,whole,16.25,-61.57,est,,1879,D-AMS004881,,16.25,-61.57,,,779,35,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-316725,742,0.90758,0.0039457,,,144,,pre-1900,,64232.0638075104
DiNapoli et al. 2021,Nevis (Caribbean),Nevis (Caribbean),unspecified 1934,shell,Macrocallista maculata,whole,17.14,-62.65,est,,1934,D-AMS004883,,17.14,-62.65,,,294,27,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: MCZ-366495,743,0.96406,0.0032349,,,89,,1930s,,95560.4706701403
DiNapoli et al. 2021,St. Croix (Caribbean),off Fredericksted,unspecified 1879,shell,Parvamussium cancellatum,whole,17.71,-64.89,est,,1879,D-AMS004885,,17.71,-64.89,,,698,32,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-7791,744,0.91678,0.0036448,,,144,,pre-1900,,75275.3173655556
DiNapoli et al. 2021,St. Kitts (Caribbean),St. Kitts (Caribbean),unspecified 1879,shell,Propeamussium dalli,whole,17.31,-62.8,est,,1879,D-AMS004886,,17.31,-62.8,,,566,24,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-150917,745,0.93197,0.0027803,,,144,,pre-1900,,129364.966563962
DiNapoli et al. 2021,St. Thomas (Caribbean),nr. Savana Island,unspecified 1933,shell,Parvamussium cancellatum,whole,18.6,-65.0917,orig,,1933,D-AMS002826,,,,,,495,25,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: SI-429827,746,0.94024,0.0029216,,,90,,1930s,,117154.368744519
DiNapoli et al. 2021,St. Vincent,St. Vincent,unspecified 1879,shell,Propeamussium dalli,whole,13.25,-61.19,est,,1879,D-AMS004887,,13.25,-61.19,,,668,29,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-150909,747,0.92021,0.0033161,,,144,,pre-1900,,90937.8668743307
DiNapoli et al. 2021,Tobago,Tobago,unspecified 1916,shell,Codakia orbicularis,whole,11.26,-60.66,est,,1916,D-AMS004888,,11.26,-60.66,,,303,31,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-258927,748,0.96298,0.0037091,,,107,,1910s,,72688.0327667999
DiNapoli et al. 2021,Tobago,Tobago,unspecified 1916,shell,Chlamys (Chlamys) ornata,whole,11.26,-60.66,est,,1916,D-AMS004889,,11.26,-60.66,,,110,26,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-201782,749,0.9864,0.0031875,,,107,,1910s,,98423.6831987697
DiNapoli et al. 2021,Trinidad,Trinidad,unspecified 1927,shell,Arca occidentalis,whole,10.38,-61.22,est,,1927,D-AMS004891,,10.38,-61.22,,,231,29,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-139563,750,0.97165,0.0035014,,,96,,1920s,,81567.3861015615
DiNapoli et al. 2021,Trinidad (Atlantic),Manzanilla,unspecified 1937,shell,Pitar dione,whole,10.51,-61.04,est,,1937,D-AMS004892,,10.51,-61.04,,,482,23,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-65737,751,0.94176,0.0026926,,,86,,1930s,,137929.231700139
DiNapoli et al. 2021,Trinidad (Atlantic),Manzanilla,unspecified 1937,shell,Mactra alata,whole,10.51,-61.04,est,,1937,D-AMS004893,,10.51,-61.04,,,328,34,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-65738,752,0.95999,0.0040546,,,86,,1930s,,60828.0603170754
DiNapoli et al. 2021,Trinidad (Caribbean),Balata Bay,unspecified 1917,shell,Arca umbonata,whole,10.77,-61.46,est,,1917,D-AMS004894,,10.77,-61.46,,,455,24,,,"DiNapoli et al. 2021, Table 1",Museum catalog no: HMCZ-147502,753,0.94493,0.0028189,,,106,,1910s,,125846.360664386
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1835,SacA37882,-53.7,3.5,,,,555,30,,,"Paterne et al. 2018, Table 1","",754,0.93324,0.0034788,,,188,,pre-1900,,82630.6325187182
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1836,SacA39852,-48.5,3.6,,,,510,30,,,"Paterne et al. 2018, Table 1","",755,0.93849,0.0034983,,,187,,pre-1900,,81712.0111661359
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1837,SacA37883,-48.6,3.6,,,,510,30,,,"Paterne et al. 2018, Table 1","",756,0.93849,0.0034983,,,186,,pre-1900,,81712.0111661359
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1838,SacA39854,-48.1,3.6,,,,505,30,,,"Paterne et al. 2018, Table 1","",757,0.93907,0.0035005,,,185,,pre-1900,,81609.3344430299
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1839,SacA37885,-47.6,3.6,,,,500,20,,,"Paterne et al. 2018, Table 1","",758,0.93965,0.0023366,,,184,,pre-1900,,183160.261660991
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1840,SacA39855,-46,3.6,,,,485,30,,,"Paterne et al. 2018, Table 1","",759,0.94141,0.0035092,,,183,,pre-1900,,81205.1847262688
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1841,SacA37886,-49.1,3.6,,,,510,30,,,"Paterne et al. 2018, Table 1","",760,0.93849,0.0034983,,,182,,pre-1900,,81712.0111661359
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1842,SacA39856,-52.1,3.5,,,,535,30,,,"Paterne et al. 2018, Table 1","",761,0.93557,0.0034875,,,181,,pre-1900,,82218.8820801377
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1843,SacA37887,-46.9,3.6,,,,490,30,,,"Paterne et al. 2018, Table 1","",762,0.94082,0.003507,,,180,,pre-1900,,81307.0994350864
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1844,SacA39858,-41.1,3.6,,,,440,30,,,"Paterne et al. 2018, Table 1","",763,0.9467,0.0035289,,,179,,pre-1900,,80301.0633978333
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1845,SacA37889,-50.7,3.5,,,,520,30,,,"Paterne et al. 2018, Table 1","",764,0.93732,0.003494,,,178,,pre-1900,,81913.2577918348
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1895,SacA37903,-49.4,3.6,,,,460,30,,,"Paterne et al. 2018, Table 1","",765,0.94434,0.0035202,,,128,,pre-1900,,80698.4740864337
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1896,SacA37904,-49.5,3.6,,,,460,30,,,"Paterne et al. 2018, Table 1","",766,0.94434,0.0035202,,,127,,pre-1900,,80698.4740864337
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1897,SacA43943,-46,3.6,,,,430,30,,,"Paterne et al. 2018, Table 1","",767,0.94788,0.0035333,,,126,,pre-1900,,80101.1909373779
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1898,SacA32686,-47.9,3.6,,,,445,30,,,"Paterne et al. 2018, Table 1","",768,0.94611,0.0035267,,,125,,pre-1900,,80401.2802813644
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1899,SacA32687,-48.6,3.6,,,,450,30,,,"Paterne et al. 2018, Table 1","",769,0.94552,0.0035246,,,124,,pre-1900,,80497.116965167
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1900,SacA32688,-48.7,3.6,,,,450,30,,,"Paterne et al. 2018, Table 1","",770,0.94552,0.0035246,,,123,,1900s,,80497.116965167
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1901,SacA32689,-48.3,3.6,,,,445,30,,,"Paterne et al. 2018, Table 1","",771,0.94611,0.0035267,,,122,,1900s,,80401.2802813644
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1902,SacA32691,-53.1,3.5,,,,485,30,,,"Paterne et al. 2018, Table 1","",772,0.94141,0.0035092,,,121,,1900s,,81205.1847262688
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1903,SacA32692,-51.5,3.5,,,,470,30,,,"Paterne et al. 2018, Table 1","",773,0.94317,0.0035158,,,120,,1900s,,80900.5876719005
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1904,SacA32693,-48,3.6,,,,440,30,,,"Paterne et al. 2018, Table 1","",774,0.9467,0.0035289,,,119,,1900s,,80301.0633978333
Paterne et al. 2018,Lesser Antilles,Martinique Island,early 2008,coral,Siderastrea siderea,core,15.16666667,-61.5,orig,1.5,1905,SacA32695,-52.3,3.5,,,,475,30,,,"Paterne et al. 2018, Table 1","",775,0.94258,0.0035136,,,118,,1900s,,81001.9293233931
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-01A)",1982.82,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1965,OS-127951,,,,1.0978,0.0027,,,,,"Andrews et al. 2020, Table 2",Upper-rise,776,1.0978,0.0027,,,58,105.529077192013,1960s,137174.211248285,137174.211248285
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-02A)",1982.91,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1963,OS-127952,,,,1.045,0.0021,,,,,"Andrews et al. 2020, Table 2",Mid-rise,777,1.045,0.0021,,,60,52.6119611230855,1960s,226757.369614513,226757.369614513
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-02B)",1982.91,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1965,OS-138609,,,,1.0266,0.003,,,,,"Andrews et al. 2020, Table 2",Mid-rise depleted,778,1.0266,0.003,,,58,33.8277925353621,1960s,111111.111111111,111111.111111111
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-03A)",1982.91,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1962,OS-130897,,,,1.0233,0.0021,,,,,"Andrews et al. 2020, Table 2",Mid-rise,779,1.0233,0.0021,,,61,30.8785850468505,1960s,226757.369614513,226757.369614513
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-04A)",1982.54,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1955,OS-130898,,,,0.9443,0.0025,,,,,"Andrews et al. 2020, Table 2",Pre-bomb,780,0.9443,0.0025,,,68,-47.9006514678986,1950s,160000,160000
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-05A)",1982.54,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1962,OS-130899,,,,1.0113,0.0021,,,,,"Andrews et al. 2020, Table 2",Mid-rise,781,1.0113,0.0021,,,61,18.7897127507866,1960s,226757.369614513,226757.369614513
