"","name","F14C_corr","F14C_corr_sd","Depth","Station"
"1","PRI103657",1.03477075476742,0.022060684175983,"15-25cm",8855
"2","PRI103658",1.03157318371253,0.0219910912220655,"15-25cm",8855
"3","PRI103659",1.0345856487549,0.0222055574063667,"15-25cm",8855
