year,f14c_mn,f14c_sd
1751,0.909364251407359,0.0298181080140158
1751.5,0.908016570122847,0.0278995103109613
1752,0.908957257759269,0.0282002432460591
1752.5,0.90763608228371,0.0275454423705451
1753,0.905979022418951,0.0268080768196274
1753.5,0.905913184858517,0.0281510479689839
1754,0.904852048275276,0.025924861576622
1754.5,0.903192708969772,0.0257319848179251
1755,0.903509279469424,0.0249387290819373
1755.5,0.903701011269994,0.026845972374372
1756,0.902559959059337,0.026009753881183
1756.5,0.902218770821509,0.025200037663039
1757,0.900933575158864,0.025397866700466
1757.5,0.901470694900035,0.025879783716691
1758,0.899623245312504,0.0251355483125234
1758.5,0.899218759351465,0.025124168984174
1759,0.899065554179742,0.0258145258918486
1759.5,0.898817490817243,0.0249401925308082
1760,0.898391442899899,0.0247534224900985
1760.5,0.897510501288174,0.0252626834567633
1761,0.898748399749035,0.0250714528643111
1761.5,0.898526093724785,0.0245180369743272
1762,0.898970187295978,0.0248148895456627
1762.5,0.898637267327853,0.0259278980410346
1763,0.898444654553758,0.0249760980949834
1763.5,0.898245690848379,0.0259687846256677
1764,0.898293932034038,0.0251003621373603
1764.5,0.898978896355098,0.0261157832640927
1765,0.8987775436867,0.0254785771901906
1765.5,0.899428295894368,0.0264150423746598
1766,0.899995821777027,0.0257347661174047
1766.5,0.900342855267707,0.026405569437485
1767,0.900875473219387,0.0266626174084878
1767.5,0.902394936927706,0.0256159132942606
1768,0.902543262813698,0.0259709969121596
1768.5,0.901891817295941,0.0260722940033923
1769,0.903585374131962,0.0257656756909902
1769.5,0.90416206434577,0.0267812386758813
1770,0.904099801095838,0.0265003705183781
1770.5,0.904651981253453,0.0265956622227151
1771,0.906288036104689,0.0256875839624704
1771.5,0.906015765890579,0.0251939970223726
1772,0.907041076330003,0.025952024727783
1772.5,0.908325945640295,0.02634555321393
1773,0.909421215891643,0.0250191990595059
1773.5,0.909192929090359,0.0254899815721535
1774,0.909605756106487,0.0248160810996603
1774.5,0.909715681342058,0.0248209502580493
1775,0.912846074249358,0.0249436780322752
1775.5,0.912301738256492,0.02544378199107
1776,0.91354420450049,0.0252829228141013
1776.5,0.913633353518449,0.0247638951597456
