year,estimate,esterror,q2_5,q97_5
1751,0.917339539066148,0.0280924299783996,0.863175739029422,0.972609647128275
1751.5,0.916558561431899,0.0276127940650734,0.862638334069588,0.972313611135901
1752,0.915991768620397,0.027663489770249,0.862377856848889,0.970482959476878
1752.5,0.915236323963966,0.0267706184645723,0.86377904613972,0.967817272335903
1753,0.914132633453354,0.026883756100412,0.862080738182741,0.96729810649061
1753.5,0.913361568263238,0.0265968263041839,0.8615416673742,0.966398743642367
1754,0.912938508154718,0.0261686276582752,0.860318242483181,0.963602163113257
1754.5,0.911857064130808,0.0260629720144524,0.860825581237431,0.963665694176771
1755,0.91194414678511,0.0254323969038707,0.860310421266319,0.962244112548315
1755.5,0.911118003078461,0.0260742588967692,0.861813761727391,0.962181220171185
1756,0.909945072437089,0.0259233057420514,0.858214798291526,0.960818774052582
1756.5,0.909985393564381,0.0256815239694442,0.859253183738916,0.960309803784908
1757,0.908329006687688,0.0250265882594274,0.859710660490295,0.957240480799502
1757.5,0.908970801700568,0.0251925958730327,0.856944649881005,0.957514752065876
1758,0.907885167406917,0.0249423605967431,0.858174199848476,0.956116522777602
1758.5,0.90819855366222,0.0250055415315374,0.859116004764131,0.958169630815143
1759,0.907176553933178,0.0248305099562604,0.858702597680487,0.956032103993689
1759.5,0.907513005992803,0.0251624285373225,0.859422660643027,0.958852889418863
1760,0.906731368026028,0.0247829808654463,0.857450201073021,0.954788227301722
1760.5,0.906588836693135,0.0254340525834615,0.856236674821799,0.955030923302406
1761,0.906033577484668,0.0252360077339802,0.855745979661655,0.954760230566484
1761.5,0.906493483151522,0.0253201478383122,0.85630855145418,0.955785661131208
1762,0.906038009063618,0.0251187012919778,0.85643766231634,0.956672014703924
1762.5,0.906447071251263,0.0254439444143716,0.857624220568749,0.95585355865894
1763,0.905829187197613,0.0253528537562222,0.857304244098558,0.954636397284373
1763.5,0.90583459823316,0.0254351794716516,0.854814236196764,0.955156173905882
1764,0.906131550448942,0.0255033934743361,0.856316587424533,0.956243394302907
1764.5,0.906409445887764,0.0255385348908791,0.854526995663887,0.956657005193367
1765,0.906878737930318,0.0260045617551852,0.855368986940654,0.956990131164416
1765.5,0.907097825205853,0.0258537034107981,0.857211100160638,0.957690369318652
1766,0.907531409364368,0.0256214854175011,0.85712948192915,0.956990111657437
1766.5,0.908567882656403,0.0255966358481289,0.859248791241974,0.95903371531665
1767,0.909030955247333,0.0257958360995324,0.859077640746064,0.959363829611491
1767.5,0.909346890702179,0.025714696855263,0.859231558555025,0.959516769716669
1768,0.910016218766508,0.0253804105211606,0.860644147184679,0.959867038755802
1768.5,0.910266471117187,0.0258082755722321,0.859219855125528,0.961048256689244
1769,0.911291431561394,0.0253769932987223,0.861494172556134,0.961700356475325
1769.5,0.911180326359138,0.025419079265414,0.861580193050781,0.960425425370262
1770,0.912717193706163,0.0256460491126763,0.862881728685613,0.96311644181602
1770.5,0.913081711357194,0.0255873672624318,0.863370737737665,0.964672896375776
1771,0.913444754167682,0.0254122395903662,0.863157863418811,0.963274114859449
1771.5,0.914341808240047,0.0255865391293726,0.863801725819324,0.96391548237113
1772,0.914605458556455,0.0253530374433288,0.865405517472798,0.965877480524104
1772.5,0.915573637175074,0.0250262713902702,0.866373356291705,0.963819989157688
1773,0.916300683924506,0.0250713952185586,0.868126448954201,0.966176780535181
1773.5,0.91787375366944,0.0249855781072223,0.868074836242213,0.96648163572774
1774,0.917728066400549,0.0250870750839572,0.867529504963616,0.966264493138585
1774.5,0.918578155939968,0.025042078690476,0.869469623515345,0.966666666193925
1775,0.919585580473268,0.0250751339853587,0.869859826835077,0.969335443235467
1775.5,0.919679051122003,0.0250090111610817,0.870510816114005,0.969548996830849
1776,0.920463257001297,0.0251843797546998,0.870388477143334,0.96867168728023
1776.5,0.92134309076739,0.0251653350604458,0.87254540806385,0.971312287069488
1777,0.921433206399819,0.0254532943945613,0.870998953015507,0.97110107922544
1777.5,0.922266424343834,0.0248248592342325,0.87331758366922,0.970467370567629
1778,0.922923554372163,0.0249778819921638,0.873337150994287,0.971038136614161
1778.5,0.922458591241139,0.0255584735039437,0.872138963873141,0.972623253900055
1779,0.923647403030198,0.0253274453438913,0.873068615386454,0.971719819162565
1779.5,0.923407555537249,0.0252744491255998,0.872585127662309,0.973374216402298
1780,0.924235397966468,0.0253605889228608,0.874325240611084,0.97268944043905
1780.5,0.924520843267187,0.0250595072928114,0.875444591344219,0.974159075377029
1781,0.925208306551928,0.0257534792245394,0.874199106182628,0.974972444820266
1781.5,0.924354086197223,0.0251812541744946,0.874171707729351,0.974407738857547
1782,0.924370217812769,0.0250972343896768,0.875766874548342,0.973457655987944
1782.5,0.925032994138821,0.0256607162214597,0.875484221236211,0.975367683082739
1783,0.924915322663767,0.0255703133113945,0.874659455759303,0.97453265868828
1783.5,0.92457945510065,0.0255741020743374,0.874575776804447,0.974216968134759
1784,0.924679599891418,0.0255018678953736,0.874181873148498,0.975347249456556
1784.5,0.924489719139839,0.0256023309698011,0.87450490880456,0.974885077120912
1785,0.923892127425743,0.0252282438667953,0.874640691727403,0.971950903242991
1785.5,0.923921781480825,0.0249936101166703,0.875693662438081,0.973308064338847
1786,0.923008505066488,0.0255125459878422,0.872131247636282,0.973284848704292
1786.5,0.922417288083009,0.0254665920709713,0.872838762192657,0.971859429182633
1787,0.922016456938318,0.0256791410382067,0.872267856147329,0.974084530834743
1787.5,0.92177191112998,0.0254536566141201,0.872271474805334,0.971631716522953
1788,0.920891117517529,0.0256260907541719,0.870221335626225,0.970390397456135
